rule,support_ratio,confidence,conciseness
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.name == t1.name  ->  t0.longitude_deg == t1.longitude_deg,2794,0.9957234497505346,0.5
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,10050730,0.8588834744705389,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.keywords == t1.keywords  ->  t0.continent == t1.continent,19887158,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.continent == t1.continent ^ t0.iso_country == US  ->  t0.iso_country == t1.iso_country,435452566,0.8033071472426999,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.municipality == t1.municipality  ->  t0.wikipedia_link == t1.wikipedia_link,6175542,0.9299543089924035,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.municipality == t1.municipality  ->  t0.iso_country == t1.iso_country,100676,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.latitude_deg == t1.latitude_deg  ->  t0.local_code == t1.local_code,2950,0.9781167108753316,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.municipality == t1.municipality  ->  t0.name == t1.name,3424,0.9822145725760184,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,3030,0.9812176165803109,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.latitude_deg == t1.latitude_deg  ->  t0.iso_region == t1.iso_region,2828,0.9376657824933687,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.type == t1.type  ->  t0.iata_code == t1.iata_code,5542,0.9361486486486487,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft  ->  t0.iata_code == t1.iata_code,57218246,0.9028314083752819,1.0
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.local_code == t1.local_code  ->  t0.wikipedia_link == t1.wikipedia_link,8000438,0.8029740127673908,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.local_code == t1.local_code  ->  t0.wikipedia_link == t1.wikipedia_link,9111360,0.9144730952190735,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.keywords == t1.keywords ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,51844848,0.9032518520942141,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.municipality == t1.municipality ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,76412,0.9018293402572879,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.iso_country == BR  ->  t0.iso_country == t1.iso_country,54466,0.8942632909729747,0.5
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.municipality == t1.municipality  ->  t0.local_code == t1.local_code,2862,0.8334304018637158,0.5
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,10452,0.8547595682041217,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.longitude_deg == t1.longitude_deg  ->  t0.local_code == t1.local_code,3082,0.9954780361757106,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.longitude_deg == t1.longitude_deg  ->  t0.municipality == t1.municipality,2842,0.9179586563307494,0.5
airports(t0) ^ airports(t1) ^ t0.iata_code == t1.iata_code ^ t0.iso_country == US  ->  t0.wikipedia_link == t1.wikipedia_link,451583756,0.9999058912114893,0.5
airports(t0) ^ airports(t1) ^ t0.continent == t1.continent  ->  t0.home_link == t1.home_link,914150186,0.9081334062375114,1.0
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region  ->  t0.continent == t1.continent,24095676,0.999540709514199,1.0
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.iso_region == t1.iso_region  ->  t0.local_code == t1.local_code,880390,0.9059094697632302,0.5
